,K,pc,s,mu,D,beta,u1eq,u2eq,bueq,r1eq,r2eq,Weq,NumInitials,C_s,C_D,difference,y_neg_invades,y_pos_invades,x_neg_invades,x_pos_invades
601,0.060598,0.00621,0.5,-2.0,-0.4,0.25,0.014521,0.014521,0.970959,0.99637,0.99637,1.021008,64,-0.0114051212853206,-0.0016433275197652,0.0,True,False,True,False
602,0.060598,0.00621,0.5,-2.0,-0.4,0.5,0.01449,0.01449,0.971019,0.992755,0.992755,1.02095,64,-0.0114387847590889,-0.0016341182943772,0.0,True,False,True,False
603,0.060598,0.00621,0.5,-2.0,-0.4,0.75,0.01446,0.01446,0.97108,0.989155,0.989155,1.020891,64,-0.011471900176057,-0.0016250653120183,0.0,True,False,True,False
604,0.060598,0.00621,0.5,-2.0,-0.4,1.0,0.01443,0.01443,0.97114,0.98557,0.98557,1.020833,64,-0.0115048375277654,-0.0016160571315221,0.0,True,False,True,False
605,0.060598,0.00621,0.5,-2.0,-0.2,0.0,0.014173,0.014173,0.971654,1.0,1.0,1.020676,64,-0.0123071525544853,-0.0016120352046885,0.0,True,False,True,False
606,0.060598,0.00621,0.5,-2.0,-0.2,0.25,0.014145,0.014145,0.97171,0.996464,0.996464,1.020621,64,-0.0123345360715212,-0.0016033859253813,0.0,True,False,True,False
607,0.060598,0.00621,0.5,-2.0,-0.2,0.5,0.014117,0.014117,0.971767,0.992942,0.992942,1.020566,64,-0.0123617874187225,-0.0015947792061785,0.0,True,False,True,False
608,0.060598,0.00621,0.5,-2.0,-0.2,0.75,0.014089,0.014089,0.971823,0.989433,0.989433,1.020511,64,-0.0123889118111833,-0.0015862133285244,0.0,True,False,True,False
609,0.060598,0.00621,0.5,-2.0,-0.2,1.0,0.014061,0.014061,0.971878,0.985939,0.985939,1.020456,64,-0.0124158999401612,-0.0015776913862172,0.0,True,False,True,False
610,0.060598,0.00621,0.5,-2.0,-0.0,0.0,0.013813,0.013813,0.972374,1.0,1.0,1.020303,64,-0.0131980505460312,-0.0015734021737347,0.0,True,False,True,False
611,0.060598,0.00621,0.5,-2.0,-0.0,0.25,0.013787,0.013787,0.972427,0.996553,0.996553,1.020251,64,-0.0132199167745509,-0.0015652320028725,0.0,True,False,True,False
612,0.060598,0.00621,0.5,-2.0,-0.0,0.5,0.013761,0.013761,0.972479,0.99312,0.99312,1.0202,64,-0.0132416650459597,-0.0015571005127628,0.0,True,False,True,False
613,0.060598,0.00621,0.5,-2.0,-0.0,0.75,0.013735,0.013735,0.972531,0.989699,0.989699,1.020148,64,-0.0132633295152509,-0.0015490075253316,0.0,True,False,True,False
614,0.060598,0.00621,0.5,-2.0,-0.0,1.0,0.013709,0.013709,0.972583,0.986291,0.986291,1.020097,64,-0.0132848805045267,-0.0015409514664745,0.0,True,False,True,False
615,0.060598,0.00621,0.5,-2.0,0.2,0.0,0.01347,0.01347,0.973061,1.0,1.0,1.019948,64,-0.0140472246399199,-0.0015364830307639,0.0,True,False,True,False
616,0.060598,0.00621,0.5,-2.0,0.2,0.25,0.013445,0.013445,0.973109,0.996639,0.996639,1.019899,64,-0.0140643098789974,-0.0015286675348641,0.0,True,False,True,False
617,0.060598,0.00621,0.5,-2.0,0.2,0.5,0.013421,0.013421,0.973158,0.993289,0.993289,1.019851,64,-0.0140810751118749,-0.0015209932505793,0.0,True,False,True,False
