,Unnamed: 0,K,pc,s,mu,D,beta,u1eq,u2eq,bueq,r1eq,r2eq,Weq,URstable,NumInitials,C_s,C_D,difference,x_pos_invades,x_neg_invades,y_pos_invades,y_neg_invades
67,67,0.0,0.02275,0.0,-2.0,0.6,0.5,0.042182,0.042182,0.915636,0.978909,0.978909,1.067291,1.0,64.0,-0.1456681787042332,-0.0,0.0,False,False,False,False
68,68,0.0,0.02275,0.0,-2.0,0.6,0.75,0.041979,0.041979,0.916042,0.9685159999999999,0.9685159999999999,1.066818,1.0,64.0,-0.14474454256602062,-0.0,0.0,False,False,False,False
69,69,0.0,0.02275,0.0,-2.0,0.6,1.0,0.041777999999999996,0.041777999999999996,0.916444,0.9582219999999999,0.9582219999999999,1.066349,1.0,64.0,-0.14382847292896742,-0.0,0.0,False,False,False,False
70,70,0.0,0.02275,0.0,-2.0,0.8,0.0,0.042593,0.042593,0.9148129999999999,1.0,1.0,1.06825,1.0,64.0,-0.14904711904376947,-0.0,0.0,False,False,True,True
71,71,0.0,0.02275,0.0,-2.0,0.8,0.25,0.042387,0.042387,0.915227,0.989403,0.989403,1.067768,1.0,64.0,-0.14808636014548704,-0.0,0.0,False,False,False,False
72,72,0.0,0.02275,0.0,-2.0,0.8,0.5,0.042182,0.042182,0.915636,0.978909,0.978909,1.067291,1.0,64.0,-0.14713373864077905,-0.0,0.0,False,False,False,False
73,73,0.0,0.02275,0.0,-2.0,0.8,0.75,0.041979,0.041979,0.916042,0.9685159999999999,0.9685159999999999,1.066818,1.0,64.0,-0.1461891507074054,-0.0,0.0,False,False,False,False
74,74,0.0,0.02275,0.0,-2.0,0.8,1.0,0.041777999999999996,0.041777999999999996,0.916444,0.9582219999999999,0.9582219999999999,1.066349,1.0,64.0,-0.14525243222828033,-0.0,0.0,False,False,False,False
75,75,0.0,0.02275,0.0,-2.0,1.0,0.0,0.042593,0.042593,0.9148129999999999,1.0,1.0,1.06825,1.0,64.0,-0.15055548186280232,-0.0,0.0,False,False,False,True
76,76,0.0,0.02275,0.0,-2.0,1.0,0.25,0.042387,0.042387,0.915227,0.989403,0.989403,1.067768,1.0,64.0,-0.14957318041378595,-0.0,0.0,False,False,False,False
77,77,0.0,0.02275,0.0,-2.0,1.0,0.5,0.042182,0.042182,0.915636,0.978909,0.978909,1.067291,1.0,64.0,-0.14859929857732493,-0.0,0.0,False,False,False,False
78,78,0.0,0.02275,0.0,-2.0,1.0,0.75,0.041979,0.041979,0.916042,0.9685159999999999,0.9685159999999999,1.066818,1.0,64.0,-0.14763375884879018,-0.0,0.0,False,False,False,False
79,79,0.0,0.02275,0.0,-2.0,1.0,1.0,0.041777999999999996,0.041777999999999996,0.916444,0.9582219999999999,0.9582219999999999,1.066349,1.0,64.0,-0.14667639152759324,-0.0,0.0,False,False,False,False
80,80,0.0,0.158655,0.0,-1.0,-2.0,0.0,0.21498499999999998,0.21498499999999998,0.57003,1.0,1.0,1.475966,1.0,64.0,-0.22467146598742865,-0.0,0.0,False,False,True,False
